2021-10-27 13:08:18
Voted address: 17077
Top No.20 voter voted USDC: 30.0
Add up USDC: 29194.170882999708
['67MbpYPtMiELGTyqB88sdkBdpBu33aZ53QYUCv2WnFpm', 8.0]
['8Bi2NcHAJzBoe7DstsXG4H82BYyHo3x5bwxsi82ctGXy', 8.0]
['8QXSMtZxgw8rxjB6dL1b8ft7JU7gTjPyA7qspj8jdT2', 8.0]
['5ntkm5AKo178UmuhfL5ycUedEpXmJGeHeV2BESuXffiM', 8.0]
['8QHqFpgU17zPoEZwE85wNGth3gCcLqhuXiyZp1a6DRkG', 8.0]
['GEzxydnnV3tzC9pEVb4VdA9dbeg5BfviddUQDZf331tX', 8.0]
['A6J8z7PZ8ZktAirRRnVwsf1NTtkH7512iYG7CwQD3hm8', 8.0]
['E1uirB3bspRYYf5QwSny7o71Sn9Nej3tmvJSFaMvPCwV', 8.0]
['FoVAutDQi3Yq4MegnHkmzn5FZMWwZgndgbPCsMh14DPP', 8.0]
['D113M5765Udo8dtfsPxFuCp4fAk4vVKCQ64zWYWMtUoF', 8.0]
['HkdVBWaHkZqk7L4uVqxMmkYi622pJGyVFars2HmBHggT', 8.0]
